Institution Name,Institution Type,Website,Location,Phone,Rating
Techasoft Pvt. Ltd.,Corporates,https://www.techasoft.com/,Bangalore,099860 56909,4.5
ASM Technologies,Corporates,http://www.asmltd.com/,Bangalore,080669 62302,4.1
ManyaSoft,Corporates,https://manyasoft.com/,Bangalore,081974 40066,4.7
VRAIO Software Solutions Pvt Ltd,Corporates,https://vraio.in/,Bangalore,N/A,4.5
Zinavo Private Limited,Corporates,https://www.zinavo.com/,Bangalore,080 3569 4395,4.6
Nextbrain Technologies Pvt Ltd | Bangalore,Corporates,https://www.nextbraintech.com/,Bangalore,080883 21887,4.8
TechTree IT Systems Private Limited,Corporates,http://www.techtreeit.com/,Bangalore,080 2221 9722,3.7
Igeeks Technologies Internship Company,Corporates,https://www.igeekstechnologies.com/,Bangalore,095905 44567,4.5
Zensar Technologies,Corporates,https://www.zensar.com/,Bangalore,080 6906 1900,4
Mobinius,Corporates,http://www.mobinius.com/,Bangalore,080508 92702,4.5
Pramati Technologies,Corporates,https://www.pramati.com/,Bangalore,080 3355 2000,4.1
"Bangalore, Microgreen Technologies Pvt Ltd, Bangalore",Corporates,http://www.microgreentech.com/,Bangalore,078159 60452,4
AmSan Technology,Corporates,http://www.amsantechnology.in/,Bangalore,099006 01788,4.8
Nexential Technology Solutions Pvt. Ltd.,Corporates,https://nexential.co.uk/,Bangalore,095008 64111,4.6
Lyte Calc Technologies Pvt Ltd,Corporates,http://www.calctechnologies.com/,Bangalore,080 3701 2566,5
HackerEarth | Tech Hiring & Developer Recruitment Platform,Corporates,https://www.hackerearth.com/,Bangalore,080 4865 1256,4.4
Elfonze Technologies Pvt Ltd,Corporates,http://www.elfonze.com/,Bangalore,096633 96810,4.9
Effone Technologies Private Limited,Corporates,http://www.effone.com/,Bangalore,080 2332 3298,4.4
Tech minds,Corporates,https://www.meridatechminds.com/,Bangalore,089045 99283,4.4
Wincent Technologies,Corporates,http://www.wtipl.com/,Bangalore,098867 83967,3.8
Infosys Limited,Corporates,https://www.infosys.com/,Bangalore,080 2559 2088,4.4
Ak Technologies Pvt Ltd,Corporates,http://aspironkhuze.com/,Bangalore,N/A,5
DxMinds,Corporates,https://dxminds.com/,Bangalore,074835 46629,4.6
Invaria Tech India Pvt Ltd,Corporates,http://invariatech.com/,Bangalore,096630 63005,4
ERP Bangalore,Corporates,http://erpbangalore.com/,Bangalore,097399 66977,5
Mindroit Technologies Pvt Ltd,Corporates,http://www.mindroit.com/,Bangalore,078296 52092,4.8
RUPSTECH PVT LTD,Corporates,http://rupstech.com/,Bangalore,099869 63082,4.9
BlueRose Technologies Pvt. Ltd.,Corporates,https://bluerose-tech.com/,Bangalore,080 4646 4949,4.3
ITC Infotech India Ltd.,Corporates,https://www.itcinfotech.com/,Bangalore,080 2298 8331,4.3
Oracle,Corporates,https://www.oracle.com/in/,Bangalore,080 4107 6000,4.6
Techpearl Software Pvt. Ltd.,Corporates,http://www.techpearl.com/,Bangalore,076762 86873,4.6
Reckonsys Tech Labs Pvt Ltd,Corporates,https://www.reckonsys.com/,Bangalore,080 4749 3499,4.4
Embright Infotech Private Limited - VR Company Bangalore,Corporates,http://www.embrightinfotech.com/,Bangalore,087929 75982,4.3
